SMILES,tpsa,tpsa_bounds,logp,logp_bounds,molweight,molweight_bounds,all_bounds
O=C(NCc1cccnc1)c1cc(OCCc2ccc(Cl)cc2Cl)cc(C(=O)NCC2CCN(c3ccncc3)CC2)c1,96.45,False,5.9813,False,617.1960453,False,False
COCCOCc1cc(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)n1,94.65,False,4.0669,False,521.1863532,False,False
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)s2)CC1,66.37,False,4.5975,False,458.1543248,False,False
CCN1CCC(NC(=O)c2cc3ccnc(OCC4CC4)c3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,85.42,False,5.4574,False,539.1757885,False,False
O=C(NCC(NC1CCC1)C(=O)Nc1ccc(N2CCOCC2=O)c(C(F)F)c1)c1ccc(Cl)s1,99.77,False,3.5815,True,526.1253104,False,False
CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N(C)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,116.73,False,4.1214,False,584.1972522,False,False
O=C(NCC1CCN(c2ccncc2)CC1)c1cc(OCCc2ccc(Cl)cc2Cl)cc(C(=O)NC2CCC2)c1,83.56,False,5.9386,False,580.2007963,False,False
CC(C)N1CCC(NC(=O)c2cc(OCC(F)F)n(CC(=O)Nc3ccc(Cl)cn3)n2)CC1,101.38,False,2.8167,True,484.1801228,False,False
CC(C)N1CCC(NC(=O)c2cc(C(=O)NCC(=O)O)nn2CC(=O)Nc2ccc(Cl)cn2)CC1,158.55,False,0.9872,False,505.1840447,False,False
CC(C)N1CCC(NC(=O)c2nc3c(n2Cc2cc(-c4ccc(Cl)s4)on2)CCCC3C(=O)O)CC1,113.49,False,4.4084,False,531.1707031,False,False
COCCOCCOc1cc(C(=O)NC2CCN(C(C)C)CC2)n(CC(=O)Nc2ccc(Cl)cn2)n1,119.84,False,2.2146,True,522.2357459,False,False
CC(C)N1CCC(NC(=O)c2nc(C(=O)OCC(=O)OC(C)(C)C)cn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,128.79,False,4.4024,False,591.1918325,False,False
CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c3ccc(C(=O)NCCS(C)(=O)=O)cc23)CC1,139.43,False,3.8315,True,632.1642378,False,False
COCCOC(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)n(CC(=O)Nc2ccc(Cl)cn2)n1,127.68,False,1.976,False,506.2044458,False,False
COc1ccc(-c2ccc(C(=O)N3CCC(c4ccc5ccnc(N)c5c4)CC3)c(F)c2)cn1,81.34,False,5.0465,False,456.1961543,False,False
CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,125.13,False,7.6508,False,696.2384483,False,False
CC(C)N1CCC(NC(=O)c2c(CC(=O)Nc3ccc(Cl)cc3)c3ccccc3n2C)CC1,66.37,False,4.6155,False,466.2135539,False,False
CCOC(=O)C1CCN(c2ccc(NC(=O)CCNC(=O)c3ccc(Cl)s3)cc2)CC1,87.74,False,3.9396,True,463.133255,False,False
CC(C)OC(=O)CNC(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)n(CC(=O)Nc2ccc(Cl)cn2)n1,147.55,False,1.8542,False,547.2309949,False,False
COCCOc1nccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1nnc(-c2ccc(Cl)s2)s1,107.29,False,4.3408,False,575.1540075,False,False
O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,76.19,False,5.0731,False,489.1026236,False,False
CC(C)N1CCC(NC(=O)c2cc3nc(C(=O)O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,113.49,False,4.7553,False,527.139403,False,False
CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c3ccc(C(=O)NCC(=O)O)cc23)CC1,142.59,False,3.8715,True,584.1608667,False,False
O=C(CCNC(=O)c1ccc(Cl)s1)Nc1ccc(N2CCOCC2=O)nc1,100.63,False,1.9183,False,408.0659037,True,False
CCOC(=O)CN(C(=O)c1cc2c(C(F)(F)F)cccc2n1Cc1cc(-c2ccc(Cl)s2)on1)C1CCN(C(C)C)CC1,80.81,False,6.9564,False,636.1784888,False,False
